sample	celltype	frequency	proportion
MB-0133	Fibroblasts CD68+	3	0.0681818181818182
MB-0135	Fibroblasts CD68+	53	0.0356662180349933
MB-0136	Fibroblasts CD68+	72	0.0436893203883495
MB-0138	Fibroblasts CD68+	35	0.0459921156373193
MB-0139	Fibroblasts CD68+	3	0.00630252100840336
MB-0140	Fibroblasts CD68+	110	0.0632183908045977
MB-0142	Fibroblasts CD68+	4	0.00537634408602151
MB-0143	Fibroblasts CD68+	31	0.0236100533130236
MB-0144	Fibroblasts CD68+	44	0.0488888888888889
MB-0145	Fibroblasts CD68+	17	0.0173116089613035
MB-0150	Fibroblasts CD68+	34	0.028262676641729
MB-0151	Fibroblasts CD68+	101	0.0878260869565217
MB-0152	Fibroblasts CD68+	9	0.0714285714285714
MB-0153	Fibroblasts CD68+	5	0.00519210799584631
MB-0154	Fibroblasts CD68+	7	0.0123674911660777
MB-0158	Fibroblasts CD68+	0	0
MB-0162	Fibroblasts CD68+	2	0.0235294117647059
MB-0163	Fibroblasts CD68+	25	0.0173973556019485
MB-0164	Fibroblasts CD68+	16	0.0383693045563549
MB-0165	Fibroblasts CD68+	40	0.0344234079173838
MB-0166	Fibroblasts CD68+	9	0.0174081237911025
MB-0167	Fibroblasts CD68+	3	0.00180072028811525
MB-0168	Fibroblasts CD68+	41	0.0500610500610501
MB-0169	Fibroblasts CD68+	7	0.0202898550724638
MB-0170	Fibroblasts CD68+	126	0.10928013876843
MB-0173	Fibroblasts CD68+	20	0.109289617486339
MB-0174	Fibroblasts CD68+	8	0.00838574423480084
MB-0175	Fibroblasts CD68+	10	0.00998003992015968
MB-0176	Fibroblasts CD68+	20	0.0170212765957447
MB-0177	Fibroblasts CD68+	12	0.019047619047619
MB-0178	Fibroblasts CD68+	54	0.0464316423043852
MB-0179	Fibroblasts CD68+	37	0.0235818992989165
MB-0180	Fibroblasts CD68+	17	0.0136327185244587
MB-0181	Fibroblasts CD68+	38	0.0293890177880897
MB-0184	Fibroblasts CD68+	55	0.0159976730657359
MB-0185	Fibroblasts CD68+	13	0.0135983263598326
MB-0188	Fibroblasts CD68+	9	0.00896414342629482
MB-0189	Fibroblasts CD68+	7	0.00768386388583974
MB-0191	Fibroblasts CD68+	6	0.0044477390659748
MB-0192	Fibroblasts CD68+	25	0.0309405940594059
MB-0193	Fibroblasts CD68+	3	0.0122950819672131
MB-0194	Fibroblasts CD68+	30	0.0253378378378378
MB-0197	Fibroblasts CD68+	25	0.124378109452736
MB-0198	Fibroblasts CD68+	62	0.0465116279069767
MB-0199	Fibroblasts CD68+	25	0.0203915171288744
MB-0200	Fibroblasts CD68+	13	0.0112749349522984
MB-0201	Fibroblasts CD68+	16	0.0275862068965517
MB-0202	Fibroblasts CD68+	47	0.0375099760574621
MB-0203	Fibroblasts CD68+	3	0.00182149362477231
MB-0204	Fibroblasts CD68+	11	0.0476190476190476
MB-0205	Fibroblasts CD68+	16	0.0406091370558376
MB-0206	Fibroblasts CD68+	28	0.0217898832684825
MB-0214	Fibroblasts CD68+	4	0.0186915887850467
MB-0218	Fibroblasts CD68+	24	0.0245901639344262
MB-0220	Fibroblasts CD68+	33	0.0532258064516129
MB-0221	Fibroblasts CD68+	137	0.0649289099526066
MB-0222	Fibroblasts CD68+	26	0.0231316725978648
MB-0223	Fibroblasts CD68+	56	0.0737812911725955
MB-0224	Fibroblasts CD68+	64	0.112676056338028
MB-0225	Fibroblasts CD68+	73	0.0704633204633205
MB-0227	Fibroblasts CD68+	25	0.0184229918938836
MB-0228	Fibroblasts CD68+	5	0.0943396226415094
MB-0232	Fibroblasts CD68+	25	0.0295159386068477
MB-0233	Fibroblasts CD68+	20	0.0542005420054201
MB-0235	Fibroblasts CD68+	34	0.0241992882562278
MB-0236	Fibroblasts CD68+	24	0.0264608599779493
MB-0238	Fibroblasts CD68+	123	0.0694522868435912
MB-0239	Fibroblasts CD68+	109	0.205273069679849
MB-0241	Fibroblasts CD68+	10	0.0206611570247934
MB-0242	Fibroblasts CD68+	64	0.261224489795918
MB-0243	Fibroblasts CD68+	21	0.0161538461538462
MB-0244	Fibroblasts CD68+	10	0.053475935828877
MB-0245	Fibroblasts CD68+	24	0.0187207488299532
MB-0248	Fibroblasts CD68+	6	0.00655021834061135
MB-0249	Fibroblasts CD68+	44	0.0928270042194093
MB-0258	Fibroblasts CD68+	17	0.0340681362725451
MB-0259	Fibroblasts CD68+	92	0.119325551232166
MB-0260	Fibroblasts CD68+	42	0.0413385826771654
MB-0262	Fibroblasts CD68+	15	0.012
MB-0263	Fibroblasts CD68+	7	0.00927152317880795
MB-0264	Fibroblasts CD68+	1	0.00182481751824818
MB-0265	Fibroblasts CD68+	3	0.0638297872340425
MB-0268	Fibroblasts CD68+	12	0.018957345971564
MB-0269	Fibroblasts CD68+	22	0.0212150433944069
MB-0272	Fibroblasts CD68+	169	0.13020030816641
MB-0273	Fibroblasts CD68+	2	0.0285714285714286
MB-0275	Fibroblasts CD68+	18	0.0430622009569378
MB-0278	Fibroblasts CD68+	133	0.155737704918033
MB-0279	Fibroblasts CD68+	17	0.0129277566539924
MB-0280	Fibroblasts CD68+	9	0.0158450704225352
MB-0283	Fibroblasts CD68+	64	0.0320480721081622
MB-0285	Fibroblasts CD68+	43	0.028801071667783
MB-0286	Fibroblasts CD68+	17	0.0551948051948052
MB-0287	Fibroblasts CD68+	15	0.0174216027874564
MB-0288	Fibroblasts CD68+	6	0.028436018957346
MB-0289	Fibroblasts CD68+	56	0.0693069306930693
MB-0291	Fibroblasts CD68+	31	0.0226939970717423
MB-0292	Fibroblasts CD68+	23	0.0249457700650759
MB-0294	Fibroblasts CD68+	47	0.0761750405186386
MB-0301	Fibroblasts CD68+	16	0.0149953139643861
MB-0302	Fibroblasts CD68+	5	0.05
MB-0304	Fibroblasts CD68+	66	0.0460572226099093
MB-0305	Fibroblasts CD68+	63	0.050561797752809
MB-0307	Fibroblasts CD68+	48	0.0375
MB-0308	Fibroblasts CD68+	18	0.0161290322580645
MB-0309	Fibroblasts CD68+	6	0.00623052959501558
MB-0311	Fibroblasts CD68+	18	0.0371134020618557
MB-0312	Fibroblasts CD68+	19	0.0101279317697228
MB-0314	Fibroblasts CD68+	9	0.00552147239263804
MB-0316	Fibroblasts CD68+	36	0.0377754459601259
MB-0318	Fibroblasts CD68+	9	0.00652173913043478
MB-0319	Fibroblasts CD68+	36	0.031304347826087
MB-0320	Fibroblasts CD68+	10	0.0118063754427391
MB-0321	Fibroblasts CD68+	44	0.0246222719641858
MB-0322	Fibroblasts CD68+	98	0.0570762958648806
MB-0324	Fibroblasts CD68+	9	0.00710339384372534
MB-0325	Fibroblasts CD68+	7	0.00682926829268293
MB-0333	Fibroblasts CD68+	19	0.016365202411714
MB-0336	Fibroblasts CD68+	5	0.00565610859728507
MB-0339	Fibroblasts CD68+	16	0.0134566862910008
MB-0340	Fibroblasts CD68+	131	0.0643734643734644
MB-0342	Fibroblasts CD68+	46	0.125340599455041
MB-0343	Fibroblasts CD68+	43	0.0370051635111876
MB-0344	Fibroblasts CD68+	19	0.0297339593114241
MB-0345	Fibroblasts CD68+	23	0.028290282902829
MB-0347	Fibroblasts CD68+	46	0.0472279260780287
MB-0349	Fibroblasts CD68+	78	0.113207547169811
MB-0350	Fibroblasts CD68+	0	0
MB-0351	Fibroblasts CD68+	24	0.0298879202988792
MB-0353	Fibroblasts CD68+	57	0.0654420206659013
MB-0354	Fibroblasts CD68+	21	0.0476190476190476
MB-0356	Fibroblasts CD68+	9	0.0195652173913043
MB-0359	Fibroblasts CD68+	22	0.0315638450502152
MB-0360	Fibroblasts CD68+	7	0.00548159749412686
MB-0361	Fibroblasts CD68+	3	0.00423131170662906
MB-0362	Fibroblasts CD68+	10	0.0116414435389988
MB-0363	Fibroblasts CD68+	15	0.00830105146651909
MB-0364	Fibroblasts CD68+	35	0.0743099787685775
MB-0365	Fibroblasts CD68+	14	0.121739130434783
MB-0366	Fibroblasts CD68+	7	0.0051698670605613
MB-0367	Fibroblasts CD68+	20	0.027027027027027
MB-0369	Fibroblasts CD68+	37	0.0244063324538259
MB-0370	Fibroblasts CD68+	4	0.00743494423791822
MB-0375	Fibroblasts CD68+	80	0.0596125186289121
MB-0377	Fibroblasts CD68+	32	0.0311890838206628
MB-0378	Fibroblasts CD68+	13	0.0224137931034483
MB-0379	Fibroblasts CD68+	17	0.0138888888888889
MB-0380	Fibroblasts CD68+	49	0.0411418975650714
MB-0382	Fibroblasts CD68+	21	0.0567567567567568
MB-0383	Fibroblasts CD68+	27	0.0349288486416559
MB-0384	Fibroblasts CD68+	16	0.0135478408128704
MB-0385	Fibroblasts CD68+	0	0
MB-0386	Fibroblasts CD68+	10	0.03125
MB-0388	Fibroblasts CD68+	44	0.0561224489795918
MB-0389	Fibroblasts CD68+	42	0.0279627163781625
MB-0390	Fibroblasts CD68+	16	0.0168243953732913
MB-0392	Fibroblasts CD68+	8	0.043010752688172
MB-0393	Fibroblasts CD68+	313	0.265029635901778
MB-0394	Fibroblasts CD68+	40	0.0176678445229682
MB-0395	Fibroblasts CD68+	14	0.0184696569920844
MB-0396	Fibroblasts CD68+	12	0.00995024875621891
MB-0397	Fibroblasts CD68+	61	0.047843137254902
MB-0398	Fibroblasts CD68+	16	0.0226308345120226
MB-0399	Fibroblasts CD68+	35	0.0423728813559322
MB-0400	Fibroblasts CD68+	62	0.054481546572935
MB-0401	Fibroblasts CD68+	10	0.0108342361863489
MB-0404	Fibroblasts CD68+	45	0.075
MB-0405	Fibroblasts CD68+	22	0.0203327171903882
MB-0406	Fibroblasts CD68+	15	0.0488599348534202
MB-0408	Fibroblasts CD68+	104	0.0900432900432901
MB-0410	Fibroblasts CD68+	18	0.015817223198594
MB-0412	Fibroblasts CD68+	16	0.0174102285092492
MB-0413	Fibroblasts CD68+	30	0.016260162601626
MB-0414	Fibroblasts CD68+	29	0.0160843039378813
MB-0417	Fibroblasts CD68+	3	0.002909796314258
MB-0418	Fibroblasts CD68+	18	0.02203182374541
MB-0419	Fibroblasts CD68+	3	0.00240577385725742
MB-0420	Fibroblasts CD68+	5	0.0093984962406015
MB-0421	Fibroblasts CD68+	13	0.01625
MB-0422	Fibroblasts CD68+	23	0.0257270693512304
MB-0423	Fibroblasts CD68+	28	0.0341047503045067
MB-0425	Fibroblasts CD68+	15	0.0083986562150056
MB-0426	Fibroblasts CD68+	6	0.00449101796407186
MB-0427	Fibroblasts CD68+	12	0.0148698884758364
MB-0429	Fibroblasts CD68+	51	0.0262480699948533
MB-0431	Fibroblasts CD68+	46	0.0738362760834671
MB-0432	Fibroblasts CD68+	18	0.0481283422459893
MB-0434	Fibroblasts CD68+	116	0.0944625407166124
MB-0438	Fibroblasts CD68+	43	0.0517448856799037
MB-0439	Fibroblasts CD68+	15	0.0114766641162969
MB-0440	Fibroblasts CD68+	10	0.0120481927710843
MB-0442	Fibroblasts CD68+	33	0.0235714285714286
MB-0443	Fibroblasts CD68+	66	0.0705882352941176
MB-0444	Fibroblasts CD68+	106	0.197392923649907
MB-0445	Fibroblasts CD68+	22	0.0160818713450292
MB-0446	Fibroblasts CD68+	27	0.0265225933202358
MB-0448	Fibroblasts CD68+	56	0.059447983014862
MB-0449	Fibroblasts CD68+	21	0.021516393442623
MB-0451	Fibroblasts CD68+	50	0.0547645125958379
MB-0453	Fibroblasts CD68+	30	0.034324942791762
MB-0454	Fibroblasts CD68+	9	0.00753138075313808
MB-0455	Fibroblasts CD68+	107	0.097361237488626
MB-0458	Fibroblasts CD68+	10	0.0225225225225225
MB-0459	Fibroblasts CD68+	20	0.0158102766798419
MB-0460	Fibroblasts CD68+	0	0
MB-0462	Fibroblasts CD68+	35	0.0940860215053763
MB-0464	Fibroblasts CD68+	1	0.00571428571428571
MB-0465	Fibroblasts CD68+	13	0.00773349196906603
MB-0467	Fibroblasts CD68+	13	0.0146726862302483
MB-0468	Fibroblasts CD68+	5	0.0148367952522255
MB-0470	Fibroblasts CD68+	16	0.017259978425027
MB-0471	Fibroblasts CD68+	0	0
MB-0475	Fibroblasts CD68+	0	0
MB-0476	Fibroblasts CD68+	10	0.00837520938023451
MB-0478	Fibroblasts CD68+	1	0.032258064516129
MB-0479	Fibroblasts CD68+	10	0.021978021978022
MB-0480	Fibroblasts CD68+	3	0.00505902192242833
MB-0481	Fibroblasts CD68+	16	0.00949554896142433
MB-0482	Fibroblasts CD68+	34	0.0343087790110999
MB-0483	Fibroblasts CD68+	28	0.0268972142170989
MB-0484	Fibroblasts CD68+	11	0.00756013745704467
MB-0485	Fibroblasts CD68+	14	0.010752688172043
MB-0486	Fibroblasts CD68+	24	0.0114942528735632
MB-0487	Fibroblasts CD68+	54	0.0558428128231644
MB-0488	Fibroblasts CD68+	7	0.00503597122302158
MB-0490	Fibroblasts CD68+	24	0.0184190330007675
MB-0491	Fibroblasts CD68+	20	0.0131061598951507
MB-0492	Fibroblasts CD68+	37	0.0337591240875912
MB-0494	Fibroblasts CD68+	64	0.0413971539456662
MB-0495	Fibroblasts CD68+	11	0.00980392156862745
MB-0496	Fibroblasts CD68+	1	0.0099009900990099
MB-0501	Fibroblasts CD68+	1	0.000324149108589951
MB-0502	Fibroblasts CD68+	50	0.0389408099688473
MB-0503	Fibroblasts CD68+	23	0.0324400564174894
MB-0504	Fibroblasts CD68+	14	0.0310421286031042
MB-0505	Fibroblasts CD68+	12	0.0287769784172662
MB-0508	Fibroblasts CD68+	31	0.0252854812398042
MB-0511	Fibroblasts CD68+	12	0.0172661870503597
MB-0512	Fibroblasts CD68+	1	0.00354609929078014
MB-0513	Fibroblasts CD68+	1	0.00043122035360069
MB-0516	Fibroblasts CD68+	59	0.0543278084714549
MB-0519	Fibroblasts CD68+	32	0.0302171860245515
MB-0521	Fibroblasts CD68+	31	0.0257048092868988
MB-0524	Fibroblasts CD68+	6	0.0392156862745098
MB-0525	Fibroblasts CD68+	157	0.116641901931649
MB-0526	Fibroblasts CD68+	12	0.00722456351595424
MB-0527	Fibroblasts CD68+	36	0.0166128287955699
MB-0528	Fibroblasts CD68+	123	0.107989464442493
MB-0529	Fibroblasts CD68+	41	0.0563961485557084
MB-0531	Fibroblasts CD68+	48	0.0790774299835255
MB-0532	Fibroblasts CD68+	21	0.0189359783588819
MB-0536	Fibroblasts CD68+	46	0.0449657869012708
MB-0537	Fibroblasts CD68+	8	0.00720720720720721
MB-0538	Fibroblasts CD68+	79	0.0387634936211972
MB-0542	Fibroblasts CD68+	13	0.00813008130081301
MB-0543	Fibroblasts CD68+	110	0.127610208816705
MB-0544	Fibroblasts CD68+	57	0.038280725319006
MB-0545	Fibroblasts CD68+	22	0.0275689223057644
MB-0547	Fibroblasts CD68+	7	0.0108191653786708
MB-0549	Fibroblasts CD68+	16	0.0124127230411171
MB-0552	Fibroblasts CD68+	59	0.0550373134328358
MB-0553	Fibroblasts CD68+	94	0.126174496644295
MB-0554	Fibroblasts CD68+	6	0.0434782608695652
MB-0558	Fibroblasts CD68+	10	0.149253731343284
MB-0568	Fibroblasts CD68+	121	0.102455546147333
MB-0569	Fibroblasts CD68+	10	0.0107991360691145
MB-0570	Fibroblasts CD68+	4	0.00259067357512953
MB-0571	Fibroblasts CD68+	22	0.0323054331864905
MB-0573	Fibroblasts CD68+	8	0.0119402985074627
MB-0574	Fibroblasts CD68+	98	0.0712727272727273
MB-0575	Fibroblasts CD68+	76	0.0419426048565121
MB-0576	Fibroblasts CD68+	11	0.00840978593272171
MB-0577	Fibroblasts CD68+	1	0.00354609929078014
MB-0578	Fibroblasts CD68+	35	0.0218204488778055
MB-0579	Fibroblasts CD68+	27	0.0151091214325686
MB-0580	Fibroblasts CD68+	13	0.0079656862745098
MB-0581	Fibroblasts CD68+	31	0.0186972255729795
MB-0582	Fibroblasts CD68+	5	0.00279173646007817
MB-0583	Fibroblasts CD68+	91	0.0429650613786591
MB-0584	Fibroblasts CD68+	3	0.00278293135435993
MB-0585	Fibroblasts CD68+	0	0
MB-0586	Fibroblasts CD68+	59	0.0357359176256814
MB-0587	Fibroblasts CD68+	0	0
MB-0588	Fibroblasts CD68+	20	0.0157232704402516
MB-0589	Fibroblasts CD68+	25	0.0201288244766506
MB-0590	Fibroblasts CD68+	0	0
MB-0591	Fibroblasts CD68+	8	0.00788954635108481
MB-0593	Fibroblasts CD68+	43	0.0924731182795699
MB-0594	Fibroblasts CD68+	1	0.00073909830007391
MB-0596	Fibroblasts CD68+	6	0.00357355568790947
MB-0597	Fibroblasts CD68+	4	0.00445930880713489
MB-0598	Fibroblasts CD68+	191	0.165511265164645
MB-0599	Fibroblasts CD68+	15	0.0104675505931612
MB-0600	Fibroblasts CD68+	7	0.00471063257065949
MB-0601	Fibroblasts CD68+	54	0.063905325443787
MB-0603	Fibroblasts CD68+	23	0.0280146163215591
MB-0605	Fibroblasts CD68+	32	0.0405063291139241
MB-0607	Fibroblasts CD68+	52	0.0393046107331822
MB-0608	Fibroblasts CD68+	81	0.0544720914593141
MB-0609	Fibroblasts CD68+	58	0.0252393385552654
MB-0610	Fibroblasts CD68+	52	0.0408483896307934
MB-0611	Fibroblasts CD68+	114	0.259090909090909
MB-0613	Fibroblasts CD68+	106	0.0879668049792531
MB-0614	Fibroblasts CD68+	18	0.0240963855421687
MB-0616	Fibroblasts CD68+	37	0.0537790697674419
MB-0618	Fibroblasts CD68+	1	0.0217391304347826
MB-0620	Fibroblasts CD68+	25	0.0189969604863222
MB-0621	Fibroblasts CD68+	8	0.00689655172413793
MB-0623	Fibroblasts CD68+	3	0.00903614457831325
MB-0624	Fibroblasts CD68+	15	0.0453172205438066
MB-0626	Fibroblasts CD68+	14	0.0104555638536221
MB-0628	Fibroblasts CD68+	39	0.0225433526011561
MB-0630	Fibroblasts CD68+	15	0.112781954887218
MB-0631	Fibroblasts CD68+	123	0.158709677419355
MB-0634	Fibroblasts CD68+	8	0.0851063829787234
MB-0635	Fibroblasts CD68+	25	0.0299043062200957
MB-0636	Fibroblasts CD68+	141	0.269083969465649
MB-0637	Fibroblasts CD68+	73	0.0651785714285714
MB-0638	Fibroblasts CD68+	31	0.0734597156398104
MB-0641	Fibroblasts CD68+	44	0.0560509554140127
MB-0642	Fibroblasts CD68+	10	0.00796812749003984
MB-0643	Fibroblasts CD68+	18	0.015693112467306
MB-0644	Fibroblasts CD68+	15	0.0114329268292683
MB-0646	Fibroblasts CD68+	250	0.15852885225111
MB-0652	Fibroblasts CD68+	28	0.0363636363636364
MB-0653	Fibroblasts CD68+	9	0.00945378151260504
MB-0654	Fibroblasts CD68+	2	0.0212765957446809
MB-0657	Fibroblasts CD68+	38	0.0476190476190476
MB-0658	Fibroblasts CD68+	9	0.0185185185185185
MB-0659	Fibroblasts CD68+	11	0.0168195718654434
MB-0660	Fibroblasts CD68+	13	0.0122295390404516
MB-0661	Fibroblasts CD68+	11	0.00708306503541533
MB-0662	Fibroblasts CD68+	22	0.0177705977382876
MB-0664	Fibroblasts CD68+	44	0.0317231434751262
MB-0666	Fibroblasts CD68+	54	0.0503731343283582
MB-0869	Fibroblasts CD68+	78	0.0424374319912949
MB-0872	Fibroblasts CD68+	32	0.0675105485232067
MB-0874	Fibroblasts CD68+	88	0.121546961325967
MB-0877	Fibroblasts CD68+	34	0.0289855072463768
MB-0880	Fibroblasts CD68+	3	0.0352941176470588
MB-0882	Fibroblasts CD68+	27	0.0203313253012048
MB-0884	Fibroblasts CD68+	16	0.0157790927021696
MB-0891	Fibroblasts CD68+	17	0.0314814814814815
MB-0893	Fibroblasts CD68+	115	0.0874524714828897
MB-0895	Fibroblasts CD68+	8	0.0207792207792208
MB-0899	Fibroblasts CD68+	52	0.0474452554744526
MB-0901	Fibroblasts CD68+	42	0.0258461538461538
MB-0904	Fibroblasts CD68+	6	0.00763358778625954
MB-0906	Fibroblasts CD68+	7	0.00933333333333333
MB-0020	Macrophages Vim+ CD45low	0	0
MB-0081	Macrophages Vim+ CD45low	18	0.00609962724500169
MB-0114	Macrophages Vim+ CD45low	9	0.0117647058823529
MB-0117	Macrophages Vim+ CD45low	0	0
MB-0120	Macrophages Vim+ CD45low	1	0.00129198966408269
MB-0121	Macrophages Vim+ CD45low	1	0.00124223602484472
MB-0122	Macrophages Vim+ CD45low	8	0.00842105263157895
MB-0123	Macrophages Vim+ CD45low	27	0.0195936139332366
MB-0124	Macrophages Vim+ CD45low	0	0
MB-0126	Macrophages Vim+ CD45low	18	0.014766201804758
MB-0128	Macrophages Vim+ CD45low	5	0.00497512437810945
MB-0130	Macrophages Vim+ CD45low	1	0.00114942528735632
MB-0131	Macrophages Vim+ CD45low	50	0.0299760191846523
MB-0133	Macrophages Vim+ CD45low	0	0
MB-0135	Macrophages Vim+ CD45low	4	0.00269179004037685
MB-0136	Macrophages Vim+ CD45low	20	0.0121359223300971
MB-0138	Macrophages Vim+ CD45low	6	0.00788436268068331
MB-0139	Macrophages Vim+ CD45low	0	0
MB-0140	Macrophages Vim+ CD45low	7	0.00402298850574713
MB-0142	Macrophages Vim+ CD45low	1	0.00134408602150538
MB-0143	Macrophages Vim+ CD45low	2	0.00152322924600152
MB-0144	Macrophages Vim+ CD45low	11	0.0122222222222222
MB-0145	Macrophages Vim+ CD45low	1	0.0010183299389002
MB-0150	Macrophages Vim+ CD45low	5	0.00415627597672485
MB-0151	Macrophages Vim+ CD45low	10	0.00869565217391304
MB-0152	Macrophages Vim+ CD45low	0	0
MB-0153	Macrophages Vim+ CD45low	1	0.00103842159916926
MB-0154	Macrophages Vim+ CD45low	4	0.00706713780918728
MB-0158	Macrophages Vim+ CD45low	0	0
MB-0162	Macrophages Vim+ CD45low	0	0
MB-0163	Macrophages Vim+ CD45low	19	0.0132219902574809
MB-0164	Macrophages Vim+ CD45low	6	0.0143884892086331
MB-0165	Macrophages Vim+ CD45low	8	0.00688468158347676
MB-0166	Macrophages Vim+ CD45low	1	0.00193423597678917
MB-0167	Macrophages Vim+ CD45low	2	0.00120048019207683
MB-0168	Macrophages Vim+ CD45low	5	0.00610500610500611
MB-0169	Macrophages Vim+ CD45low	0	0
MB-0170	Macrophages Vim+ CD45low	4	0.00346921075455334
MB-0173	Macrophages Vim+ CD45low	0	0
MB-0174	Macrophages Vim+ CD45low	5	0.00524109014675052
MB-0175	Macrophages Vim+ CD45low	0	0
MB-0176	Macrophages Vim+ CD45low	4	0.00340425531914894
MB-0177	Macrophages Vim+ CD45low	0	0
MB-0178	Macrophages Vim+ CD45low	0	0
MB-0179	Macrophages Vim+ CD45low	25	0.0159337157425112
MB-0180	Macrophages Vim+ CD45low	6	0.00481154771451484
MB-0181	Macrophages Vim+ CD45low	2	0.00154679040989946
MB-0184	Macrophages Vim+ CD45low	15	0.0043630017452007
MB-0185	Macrophages Vim+ CD45low	6	0.00627615062761506
MB-0188	Macrophages Vim+ CD45low	5	0.0049800796812749
MB-0189	Macrophages Vim+ CD45low	3	0.00329308452250274
MB-0191	Macrophages Vim+ CD45low	13	0.00963676797627873
MB-0192	Macrophages Vim+ CD45low	1	0.00123762376237624
MB-0193	Macrophages Vim+ CD45low	0	0
MB-0194	Macrophages Vim+ CD45low	2	0.00168918918918919
MB-0197	Macrophages Vim+ CD45low	19	0.0945273631840796
MB-0198	Macrophages Vim+ CD45low	17	0.0127531882970743
MB-0199	Macrophages Vim+ CD45low	108	0.0880913539967374
MB-0200	Macrophages Vim+ CD45low	23	0.0199479618386817
MB-0201	Macrophages Vim+ CD45low	0	0
MB-0202	Macrophages Vim+ CD45low	3	0.00239425379090184
MB-0203	Macrophages Vim+ CD45low	80	0.0485731633272617
MB-0204	Macrophages Vim+ CD45low	0	0
MB-0205	Macrophages Vim+ CD45low	1	0.00253807106598985
MB-0206	Macrophages Vim+ CD45low	21	0.0163424124513619
MB-0214	Macrophages Vim+ CD45low	0	0
MB-0218	Macrophages Vim+ CD45low	1	0.00102459016393443
MB-0220	Macrophages Vim+ CD45low	0	0
MB-0221	Macrophages Vim+ CD45low	2	0.000947867298578199
MB-0222	Macrophages Vim+ CD45low	14	0.0124555160142349
MB-0223	Macrophages Vim+ CD45low	11	0.0144927536231884
MB-0224	Macrophages Vim+ CD45low	3	0.00528169014084507
MB-0225	Macrophages Vim+ CD45low	7	0.00675675675675676
MB-0227	Macrophages Vim+ CD45low	16	0.0117907148120855
MB-0228	Macrophages Vim+ CD45low	0	0
MB-0232	Macrophages Vim+ CD45low	2	0.00236127508854782
MB-0233	Macrophages Vim+ CD45low	0	0
MB-0235	Macrophages Vim+ CD45low	38	0.0270462633451957
MB-0236	Macrophages Vim+ CD45low	1	0.00110253583241455
MB-0238	Macrophages Vim+ CD45low	19	0.0107284020327499
MB-0239	Macrophages Vim+ CD45low	3	0.00564971751412429
MB-0241	Macrophages Vim+ CD45low	1	0.00206611570247934
MB-0242	Macrophages Vim+ CD45low	0	0
MB-0243	Macrophages Vim+ CD45low	0	0
MB-0244	Macrophages Vim+ CD45low	0	0
MB-0245	Macrophages Vim+ CD45low	3	0.00234009360374415
MB-0248	Macrophages Vim+ CD45low	0	0
MB-0249	Macrophages Vim+ CD45low	16	0.0337552742616034
MB-0258	Macrophages Vim+ CD45low	0	0
MB-0259	Macrophages Vim+ CD45low	12	0.0155642023346304
MB-0260	Macrophages Vim+ CD45low	2	0.00196850393700787
MB-0262	Macrophages Vim+ CD45low	7	0.0056
MB-0263	Macrophages Vim+ CD45low	0	0
MB-0264	Macrophages Vim+ CD45low	8	0.0145985401459854
MB-0265	Macrophages Vim+ CD45low	0	0
MB-0268	Macrophages Vim+ CD45low	0	0
MB-0269	Macrophages Vim+ CD45low	32	0.0308582449373192
MB-0272	Macrophages Vim+ CD45low	1	0.000770416024653313
MB-0273	Macrophages Vim+ CD45low	0	0
MB-0275	Macrophages Vim+ CD45low	0	0
MB-0278	Macrophages Vim+ CD45low	6	0.00702576112412178
MB-0279	Macrophages Vim+ CD45low	9	0.00684410646387833
MB-0280	Macrophages Vim+ CD45low	0	0
MB-0283	Macrophages Vim+ CD45low	6	0.00300450676014021
MB-0285	Macrophages Vim+ CD45low	22	0.014735432016075
MB-0286	Macrophages Vim+ CD45low	1	0.00324675324675325
MB-0287	Macrophages Vim+ CD45low	0	0
MB-0288	Macrophages Vim+ CD45low	0	0
MB-0289	Macrophages Vim+ CD45low	1	0.00123762376237624
MB-0291	Macrophages Vim+ CD45low	5	0.00366032210834553
MB-0292	Macrophages Vim+ CD45low	36	0.0390455531453362
MB-0294	Macrophages Vim+ CD45low	2	0.00324149108589951
MB-0301	Macrophages Vim+ CD45low	0	0
MB-0302	Macrophages Vim+ CD45low	0	0
MB-0304	Macrophages Vim+ CD45low	2	0.00139567341242149
MB-0305	Macrophages Vim+ CD45low	13	0.0104333868378812
MB-0307	Macrophages Vim+ CD45low	14	0.0109375
MB-0308	Macrophages Vim+ CD45low	3	0.00268817204301075
MB-0309	Macrophages Vim+ CD45low	0	0
MB-0311	Macrophages Vim+ CD45low	6	0.0123711340206186
MB-0312	Macrophages Vim+ CD45low	0	0
MB-0314	Macrophages Vim+ CD45low	2	0.00122699386503067
MB-0316	Macrophages Vim+ CD45low	0	0
MB-0318	Macrophages Vim+ CD45low	0	0
MB-0319	Macrophages Vim+ CD45low	0	0
MB-0320	Macrophages Vim+ CD45low	0	0
MB-0321	Macrophages Vim+ CD45low	0	0
MB-0322	Macrophages Vim+ CD45low	27	0.0157251019219569
MB-0324	Macrophages Vim+ CD45low	0	0
MB-0325	Macrophages Vim+ CD45low	0	0
MB-0333	Macrophages Vim+ CD45low	24	0.020671834625323
MB-0336	Macrophages Vim+ CD45low	0	0
MB-0339	Macrophages Vim+ CD45low	4	0.00336417157275021
MB-0340	Macrophages Vim+ CD45low	1	0.000491400491400491
MB-0342	Macrophages Vim+ CD45low	7	0.0190735694822888
