sample	PC1	PC2	ancestry
CURTIS_H000455_N01_01_WG01	-2.61831945148739	0.667971671976715	ICGC
CURTIS_H000456_N01_01_WG01	0.0355412862255319	-0.580207152721986	ICGC
CURTIS_H000457_N01_01_WG01	-2.75206355162987	0.781936635709245	ICGC
CURTIS_H000458_N01_01_WG01	-2.83899812868481	0.100221213681404	ICGC
CURTIS_H000459_N01_01_WG01	-3.18161746774607	-0.24614622891971	ICGC
CURTIS_H000460_N01_01_WG01	-3.25098955229098	-0.246964007080553	ICGC
CURTIS_H000461_N01_01_WG01	-3.72721910837858	0.824609250608625	ICGC
CURTIS_H000462_N01_01_WG01	-3.14297672516383	0.74276974684302	ICGC
CURTIS_H000463_N01_01_WG01	-1.48998849604898	0.685400491897362	ICGC
CURTIS_H000464_N01_01_WG01	-2.34882648517124	0.0963010682562482	ICGC
CURTIS_H000465_N01_01_WG01	-0.51394979738159	-0.304328219069742	ICGC
CURTIS_H000466_N01_01_WG01	-4.01908838577955	1.47411971575683	ICGC
CURTIS_H000467_N01_01_WG01	-2.99104882752015	0.608274201937693	ICGC
CURTIS_H000468_N01_01_WG01	-2.75352346451808	-0.497867156920052	ICGC
CURTIS_H000469_N01_01_WG01	-3.65084998541469	1.7378733084909	ICGC
CURTIS_H000470_N01_01_WG01	-2.39470105817097	0.587792183040978	ICGC
CURTIS_H000471_N01_01_WG01	-2.47947183865209	0.0566740097412554	ICGC
CURTIS_H000472_N01_01_WG01	-2.88433614198153	-0.430892095625224	ICGC
CURTIS_H000473_N01_01_WG01	-3.98493989173658	0.796300246133376	ICGC
CURTIS_H000474_N01_01_WG01	-2.88360717540778	-0.627836649167358	ICGC
CURTIS_H000475_N01_01_WG01	-2.9221603657354	-0.267455693740128	ICGC
CURTIS_H000476_N01_01_WG01	-3.354384721718	0.206536767062098	ICGC
CURTIS_H000477_N01_01_WG01	-2.98179125730547	1.23636178804443	ICGC
CURTIS_H000478_N01_01_WG01	-2.38202731399105	0.892825130466594	ICGC
CURTIS_H000479_N01_01_WG01	-3.60349871023707	0.625715943765034	ICGC
CURTIS_H000480_N01_01_WG01	-3.23795663396781	0.17576636003844	ICGC
CURTIS_H000481_N01_01_WG01	-3.25913001503879	0.551082358436848	ICGC
CURTIS_H000482_N01_01_WG01	-3.94137232259598	-0.206114584339172	ICGC
CURTIS_H000483_N01_01_WG01	-3.03318837967784	0.924388883112039	ICGC
CURTIS_H000484_N01_01_WG01	-2.69251564749849	1.11323184813707	ICGC
CURTIS_H000485_N01_01_WG01	-3.52408264562133	-0.336738175982074	ICGC
CURTIS_H000486_N01_01_WG01	-3.57909999176704	0.263814031127	ICGC
CURTIS_H000487_N01_01_WG01	-3.51226367630587	0.0471679799746541	ICGC
CURTIS_H000488_N01_01_WG01	-2.77010098064983	1.22480650003032	ICGC
CURTIS_H000489_N01_01_WG01	-2.62654316798464	0.744728384125426	ICGC
CURTIS_H000490_N01_01_WG01	-2.26687542841541	1.50169640734683	ICGC
CURTIS_H000491_N01_01_WG01	-3.06445173480841	0.612556918269917	ICGC
CURTIS_H000492_N01_01_WG01	-2.89892647457647	0.860098572499228	ICGC
